"Timestamp","What age bracket are you in?","What websites/applications do you think provide recommendations for you?","Are you aware that the items you see on these applications are personalised to satisfy your tastes?","How often do you get recommendations that you think are irrelevant?","How often do you find yourself getting frustrated when you can't find anything you like on these applications?","Would you be willing to tell these applications which items you have consumed in the past to receive better recommendations? "
"2020/05/10 7:37:50 PM GMT+1","40 - 49","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms;web search engines; google home, Alexa etc. ","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/12 1:26:05 PM GMT+1","40 - 49","Music Streaming Apps;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/12 1:31:31 PM GMT+1","40 - 49","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Often","No"
"2020/05/12 1:50:16 PM GMT+1","30 - 39","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/12 2:00:21 PM GMT+1","30 - 39","Social Media Platforms","No","Often","Often","No"
"2020/05/12 2:09:44 PM GMT+1","30 - 39","E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/12 2:11:22 PM GMT+1","30 - 39","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/12 2:15:12 PM GMT+1","30 - 39","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
"2020/05/12 4:15:09 PM GMT+1","30 - 39","Movie/TV Streaming Apps","Yes","Sometimes","Sometimes","No"
"2020/05/12 4:18:23 PM GMT+1","40 - 49","Social Media Platforms","Yes","Often","Often","No"
"2020/05/12 5:03:40 PM GMT+1","40 - 49","Social Media Platforms","No","Often","Often","Yes, providing I know that my data is safe"
"2020/05/12 9:03:14 PM GMT+1","50 - 59","Movie/TV Streaming Apps;Music Streaming Apps","Yes","Often","Often","Yes, providing I know that my data is safe"
"2020/05/13 1:38:56 AM GMT+1","40 - 49","Don't know","Yes","Sometimes","Often","No"
"2020/05/13 9:15:16 AM GMT+1","40 - 49","News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
